,id_depto,grupo_etario,habitantes
449,14091,0-5,15214.0
450,14098,0-5,21670.0
451,14105,6-11,5663.0
452,14112,6-11,1591.0
453,14119,6-11,10379.0
454,14126,12-18,4656.0
455,14126,19-65,25211.0
456,14133,6-11,6034.0
457,14140,>65,28448.0
458,14161,0-5,9114.0
459,14168,>65,2188.0
460,14175,0-5,1158.0
461,18007,12-18,5139.0
462,18007,19-65,26073.0
463,18035,12-18,6224.0
464,18035,19-65,29736.0
465,18042,>65,1676.0
466,18063,12-18,1937.0
467,18063,19-65,10078.0
468,18070,0-5,9035.0
469,18084,6-11,4200.0
470,18091,0-5,4432.0
471,18112,12-18,5272.0
472,18112,19-65,26890.0
473,18140,0-5,1862.0
474,18154,0-5,1287.0
475,22007,12-18,5388.0
476,22007,19-65,21814.0
477,22028,0-5,3114.0
478,22036,12-18,2724.0
479,22036,19-65,14068.0
480,22049,12-18,1702.0
481,22049,19-65,7340.0
482,22056,>65,1244.0
483,22063,0-5,6921.0
484,22070,6-11,2577.0
485,22077,12-18,1563.0
486,22077,19-65,8388.0
487,22091,>65,1910.0
488,22098,0-5,5880.0
489,22112,12-18,2996.0
490,22112,19-65,12444.0
491,22119,6-11,1578.0
492,22126,>65,1126.0
493,22133,0-5,3168.0
494,22154,>65,1528.0
495,22161,12-18,510.0
496,22161,19-65,2423.0
497,22168,>65,2363.0
498,26007,0-5,8111.0
499,26028,>65,130.0
500,26042,12-18,1461.0
501,26042,19-65,7478.0
502,26063,6-11,60.0
503,26077,>65,14944.0
504,26105,12-18,174.0
505,26105,19-65,990.0
506,30008,0-5,5907.0
507,30021,0-5,3847.0
508,30035,6-11,2860.0
509,30056,>65,15120.0
510,30063,6-11,1534.0
511,30098,12-18,12820.0
512,30098,19-65,69543.0
513,30113,0-5,4679.0
514,34014,12-18,30652.0
515,34014,19-65,167453.0
516,34021,>65,1732.0
517,34028,12-18,2420.0
518,34028,19-65,9727.0
519,34035,0-5,8070.0
520,34056,0-5,6830.0
521,38014,0-5,11018.0
522,38035,12-18,11270.0
523,38035,19-65,56971.0
524,38042,6-11,6551.0
525,38049,12-18,238.0
526,38049,19-65,976.0
527,38070,12-18,2601.0
528,38070,19-65,12108.0
529,38084,12-18,560.0
530,38084,19-65,2208.0
531,38094,0-5,1063.0
532,38112,0-5,2367.0
533,42014,0-5,194.0
534,42021,0-5,8258.0
535,42049,6-11,305.0
536,42056,12-18,1340.0
537,42056,19-65,7211.0
538,42070,6-11,756.0
539,42091,12-18,28.0
540,42091,19-65,251.0
541,42105,>65,7856.0
542,42119,6-11,699.0
543,42133,0-5,1232.0
544,42140,6-11,2073.0
545,42154,0-5,1321.0
546,46021,0-5,409.0
547,46028,12-18,1172.0
548,46028,19-65,7114.0
549,46035,6-11,1360.0
550,46049,6-11,664.0
551,46063,6-11,677.0
552,46070,12-18,461.0
553,46070,19-65,2438.0
554,46077,6-11,164.0
555,46084,6-11,656.0
556,46126,0-5,230.0
557,50007,6-11,9891.0
558,50014,0-5,4069.0
559,50021,12-18,19597.0
560,50021,19-65,116952.0
