,Provincia,Departamento,Cant_EE,Cant_CC,Poblacion
203,Jujuy,LEDESMA,75.0,,94132.0
204,Misiones,APOSTOLES,75.0,,50503.0
205,Buenos Aires,VILLARINO,74.0,3.0,32552.0
206,Buenos Aires,SAN ANDRES DE GILES,74.0,2.0,26399.0
207,Buenos Aires,CORONEL DE MARINA L ROSALES,74.0,,65823.0
208,Santiago del Estero,JIMENEZ,74.0,,18622.0
209,Tucumán,SIMOCA,74.0,,36946.0
210,San Luis,AYACUCHO,73.0,1.0,23653.0
211,Buenos Aires,LA COSTA,73.0,,100400.0
212,Córdoba,ISCHILIN,72.0,1.0,36023.0
213,Mendoza,SAN CARLOS,71.0,,39752.0
214,Santiago del Estero,JUAN F IBARRA,71.0,,20567.0
215,Buenos Aires,PATAGONES,70.0,1.0,37499.0
216,Córdoba,GENERAL ROCA,70.0,1.0,36064.0
217,Tucumán,MONTEROS,70.0,,77469.0
218,Buenos Aires,AYACUCHO,69.0,,21757.0
219,Córdoba,PRESIDENTE ROQUE SAENZ PEÑA,69.0,,37551.0
220,Catamarca,CAPAYAN,68.0,,19471.0
221,Entre Ríos,TALA,68.0,,31091.0
222,Misiones,MONTECARLO,68.0,,38620.0
223,Corrientes,MERCEDES,67.0,,49807.0
224,San Juan,POCITO,67.0,,72879.0
225,Tucumán,YERBA BUENA,66.0,3.0,102589.0
226,San Juan,CHIMBAS,66.0,1.0,103772.0
227,Corrientes,GENERAL PAZ,66.0,,17016.0
228,Corrientes,MONTE CASEROS,66.0,,45602.0
229,La Rioja,CHILECITO,66.0,,58681.0
230,Mendoza,TUNUYAN,66.0,,59972.0
231,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",USHUAIA,65.0,6.0,
232,Tucumán,LULES,65.0,2.0,93464.0
233,La Pampa,MARACO,65.0,1.0,69067.0
234,Buenos Aires,LAS FLORES,65.0,,27136.0
235,Mendoza,RIVADAVIA,65.0,,63589.0
236,Buenos Aires,MARCOS PAZ,64.0,,64761.0
237,Corrientes,ITUZAINGO,64.0,,38767.0
238,Santa Fe,SAN JAVIER,64.0,,33180.0
239,Chubut,CUSHAMEN,63.0,1.0,28099.0
240,Chaco,25 DE MAYO,63.0,,32606.0
241,Chaco,9 DE JULIO,63.0,,30223.0
242,Chaco,BERMEJO,63.0,,28060.0
243,Formosa,LAISHI,63.0,,19275.0
244,Mendoza,JUNIN,63.0,,46472.0
245,Buenos Aires,GENERAL ALVARADO,62.0,,45307.0
246,Chaco,CHACABUCO,62.0,,34493.0
247,Corrientes,CONCEPCION,62.0,,26270.0
248,Corrientes,PASO DE LOS LIBRES,62.0,,56778.0
249,San Juan,CAUCETE,62.0,,44017.0
250,Santiago del Estero,SALAVINA,62.0,,12775.0
251,Córdoba,RIO SECO,61.0,1.0,15275.0
252,Jujuy,HUMAHUACA,61.0,1.0,20877.0
253,Buenos Aires,LOBERIA,61.0,,18106.0
254,Córdoba,TULUMBA,61.0,,14092.0
255,Buenos Aires,BRANDSEN,60.0,1.0,32350.0
256,Chaco,O HIGGINS,60.0,1.0,21544.0
257,Buenos Aires,NAVARRO,60.0,,19888.0
258,Buenos Aires,PRESIDENTE PERON,60.0,,101994.0
259,Misiones,SAN JAVIER,60.0,,23080.0
260,Santiago del Estero,OJO DE AGUA,60.0,,15008.0
261,Buenos Aires,MAGDALENA,59.0,,22653.0
262,Corrientes,SALADAS,58.0,,29126.0
263,Corrientes,SAN LUIS DEL PALMAR,58.0,,21381.0
264,Río Negro,AVELLANEDA,58.0,,41160.0
265,San Juan,SARMIENTO,58.0,,27188.0
266,Santiago del Estero,QUEBRACHOS,58.0,,12336.0
267,Buenos Aires,GENERAL JUAN MADARIAGA,57.0,2.0,22566.0
268,Buenos Aires,BRAGADO,57.0,1.0,46227.0
269,Buenos Aires,CARLOS CASARES,57.0,1.0,22905.0
270,Buenos Aires,MAR CHIQUITA,57.0,,32973.0
271,Buenos Aires,SAN ANTONIO DE ARECO,57.0,,26695.0
272,Catamarca,ANDALGALA,56.0,2.0,19545.0
273,Misiones,CANDELARIA,56.0,1.0,34945.0
274,Buenos Aires,SALTO,56.0,,39257.0
275,Catamarca,EL ALTO,56.0,,4375.0
276,Córdoba,TOTORAL,56.0,,22473.0
277,San Luis,JUNIN,55.0,2.0,40289.0
278,Chaco,12 DE OCTUBRE,55.0,,23179.0
279,La Rioja,ROSARIO VERA PEÑALOZA,55.0,,15764.0
280,Santiago del Estero,SAN MARTIN,55.0,,11183.0
281,Buenos Aires,ENSENADA,54.0,2.0,63978.0
282,Buenos Aires,CORONEL PRINGLES,54.0,,24110.0
283,Buenos Aires,EXALTACION DE LA CRUZ,54.0,,40036.0
284,Corrientes,EMPEDRADO,54.0,,17948.0
285,Jujuy,YAVI,54.0,,25831.0
286,Salta,SANTA VICTORIA,54.0,,9411.0
287,San Juan,25 DE MAYO,54.0,,20824.0
288,Santa Fe,BELGRANO,54.0,,48544.0
289,Buenos Aires,ROJAS,53.0,1.0,25619.0
290,Formosa,MATACOS,53.0,,17017.0
291,Mendoza,MALARGUE,53.0,,32596.0
292,Tucumán,RIO CHICO,53.0,,64927.0
293,Buenos Aires,ADOLFO ALSINA,51.0,1.0,17344.0
294,Buenos Aires,RAUCH,50.0,1.0,16491.0
295,Chaco,INDEPENDENCIA,50.0,,21948.0
296,San Luis,LIBERTADOR GRL SAN MARTIN,50.0,,4691.0
297,Buenos Aires,ROQUE PEREZ,49.0,1.0,13901.0
298,Buenos Aires,ARRECIFES,49.0,,32077.0
299,Buenos Aires,RAMALLO,49.0,,39648.0
300,Jujuy,COCHINOCA,49.0,,14998.0
301,Salta,METAN,49.0,,48028.0
302,Neuquén,ZAPALA,48.0,1.0,45540.0
303,Buenos Aires,GENERAL ALVEAR,48.0,,10150.0
304,Tucumán,GRANEROS,48.0,,15539.0
305,Salta,ROSARIO DE LERMA,47.0,1.0,50961.0
306,Buenos Aires,CORONEL DORREGO,47.0,,15795.0
307,Buenos Aires,DAIREAUX,47.0,,18328.0
308,Chaco,SARGENTO CABRAL,47.0,,18696.0
309,Corrientes,SAN COSME,47.0,,19679.0
310,Corrientes,SAN ROQUE,47.0,,22682.0
311,Mendoza,SANTA ROSA,47.0,,19379.0
312,Buenos Aires,DOLORES,46.0,2.0,31405.0
313,Buenos Aires,CARMEN DE ARECO,46.0,,17345.0
314,Buenos Aires,GENERAL PAZ,46.0,,14141.0
315,Buenos Aires,RIVADAVIA,46.0,,19735.0
316,Buenos Aires,TORNQUIST,46.0,,14591.0
317,La Rioja,GENERAL SAN MARTIN,46.0,,5017.0
318,Salta,ROSARIO DE LA FRONTERA,46.0,,33750.0
319,Buenos Aires,MONTE,45.0,1.0,24616.0
320,Salta,GENERAL GUEMES,45.0,1.0,55746.0
321,Buenos Aires,CARLOS TEJEDOR,45.0,,14007.0
322,Buenos Aires,PUAN,45.0,,16391.0
323,Chaco,SAN LORENZO,45.0,,16045.0
324,Jujuy,PALPALA,45.0,,65522.0
325,San Juan,VALLE FERTIL,45.0,,8425.0
326,San Luis,BELGRANO,45.0,,5575.0
327,Buenos Aires,SAAVEDRA,44.0,1.0,21407.0
328,Catamarca,POMAN,44.0,1.0,12219.0
329,Catamarca,SANTA ROSA,44.0,,13317.0
330,Corrientes,SAN MARTIN,44.0,,15164.0
331,La Rioja,CHAMICAL,44.0,,15630.0
332,Mendoza,TUPUNGATO,43.0,1.0,41168.0
333,San Luis,CORONEL PRINGLES,43.0,1.0,16044.0
334,Buenos Aires,COLON,43.0,,27406.0
335,San Luis,CHACABUCO,43.0,,26522.0
336,Tucumán,FAMAILLA,43.0,,42669.0
337,Tucumán,TRANCAS,43.0,,23438.0
338,Neuquén,LACAR,42.0,4.0,39567.0
339,Catamarca,VALLE VIEJO,42.0,2.0,33951.0
340,Buenos Aires,GENERAL VIAMONTE,42.0,,22530.0
341,Buenos Aires,GUAMINI,42.0,,11662.0
342,Buenos Aires,TAPALQUE,42.0,,10695.0
343,Catamarca,ANCASTI,42.0,,3282.0
344,La Rioja,GENERAL OCAMPO,42.0,,7347.0
345,San Juan,SANTA LUCIA,42.0,,62697.0
346,Santiago del Estero,ATAMISQUI,42.0,,14894.0
347,Córdoba,MINAS,41.0,1.0,4855.0
348,Entre Ríos,FELICIANO,41.0,,16717.0
349,La Rioja,GENERAL BELGRANO,41.0,,7615.0
350,Santiago del Estero,GUASAYAN,41.0,,9251.0
351,Entre Ríos,ISLAS DEL IBICUY,40.0,,13984.0
352,Buenos Aires,ADOLFO GONZALES CHAVES,39.0,,12847.0
353,Chaco,GENERAL DONOVAN,39.0,,15061.0
354,Córdoba,POCHO,39.0,,5070.0
355,Santa Fe,GARAY,39.0,,24853.0
356,Tucumán,TAFI DEL VALLE,39.0,,22382.0
357,Buenos Aires,GENERAL BELGRANO,38.0,,20674.0
358,Buenos Aires,GENERAL LAS HERAS,38.0,,17980.0
359,Río Negro,SAN ANTONIO,37.0,1.0,35473.0
360,Buenos Aires,GENERAL LA MADRID,37.0,,11535.0
361,San Juan,CALINGASTA,37.0,,10667.0
362,Buenos Aires,VILLA GESELL,36.0,1.0,37325.0
363,La Rioja,GENERAL JUAN F QUIROGA,36.0,,4013.0
364,Buenos Aires,BENITO JUAREZ,35.0,1.0,21185.0
365,Catamarca,AMBATO,35.0,,5087.0
366,Catamarca,PACLIN,35.0,,4696.0
367,Chaco,FRAY JUSTO SANTA MARIA DE ORO,35.0,,10643.0
368,Salta,IRUYA,34.0,1.0,6116.0
369,Tucumán,LA COCHA,34.0,1.0,21196.0
370,Buenos Aires,GENERAL ARENALES,34.0,,16231.0
371,Buenos Aires,LEANDRO N. ALEM,34.0,,17153.0
372,Buenos Aires,PINAMAR,34.0,,39224.0
373,Corrientes,SAUCE,34.0,,10382.0
374,La Rioja,FAMATINA,34.0,,6984.0
375,Río Negro,25 DE MAYO,34.0,,16555.0
376,Tucumán,JUAN B ALBERDI,34.0,,34745.0
377,Buenos Aires,LAPRIDA,33.0,,11496.0
378,Buenos Aires,SUIPACHA,33.0,,11736.0
379,Entre Ríos,SAN SALVADOR,33.0,,20786.0
380,San Juan,ALBARDON,33.0,,31281.0
381,Corrientes,SAN MIGUEL,32.0,,12700.0
382,La Pampa,UTRACAN,32.0,,17686.0
383,Misiones,CONCEPCION,32.0,,10303.0
384,Neuquén,PEHUENCHES,32.0,,29721.0
385,Santiago del Estero,SILIPICA,32.0,,9766.0
386,Jujuy,TILCARA,31.0,3.0,14621.0
387,La Pampa,CONHELO,31.0,,15094.0
388,Neuquén,HUILICHES,31.0,,20853.0
389,Buenos Aires,PUNTA INDIO,30.0,1.0,12161.0
390,Buenos Aires,CAPITAN SARMIENTO,30.0,,15882.0
391,Buenos Aires,GENERAL PINTO,30.0,,12842.0
392,La Pampa,REALICO,30.0,,17356.0
393,San Juan,ANGACO,30.0,,10172.0
394,San Juan,IGLESIA,30.0,,8826.0
395,Buenos Aires,ALBERTI,29.0,1.0,12906.0
396,Jujuy,SANTA BARBARA,29.0,,20497.0
397,Salta,CERRILLOS,29.0,,55713.0
398,San Juan,SAN MARTIN,29.0,,15037.0
399,Catamarca,FRAY MAMERTO ESQUIU,28.0,2.0,14624.0
400,Chaco,LIBERTAD,28.0,2.0,13775.0
401,Salta,SAN CARLOS,28.0,1.0,7779.0
402,La Pampa,RANCUL,28.0,,11090.0
403,La Rioja,GENERAL ANGEL V PEÑALOZA,28.0,,3184.0
404,Buenos Aires,MAIPU,27.0,2.0,11253.0
405,La Rioja,CORONEL FELIPE VARELA,27.0,1.0,11371.0
406,Buenos Aires,CASTELLI,27.0,,9551.0
407,Corrientes,MBURUCUYA,27.0,,11541.0
408,Salta,CHICOANA,27.0,,24715.0
409,La Rioja,ARAUCO,26.0,1.0,16251.0
410,Buenos Aires,PILA,26.0,,4615.0
411,Chaco,PRESIDENCIA DE LA PLAZA,26.0,,13938.0
412,La Pampa,CHAPALEUFU,26.0,,12277.0
413,Neuquén,CHOS MALAL,26.0,,18289.0
