,id,id_depto,jardin,primaria,secundaria
661,020075600,02000,0,1,0
662,020075700,02000,1,0,0
663,020075800,02000,0,0,1
664,020076000,02000,0,0,1
665,020076100,02000,0,0,1
666,020076200,02000,0,0,1
667,020076300,02000,0,0,1
668,020076500,02000,0,0,1
669,020076600,02000,1,0,1
670,020076700,02000,1,1,1
671,020076800,02000,1,1,1
672,020076900,02000,1,0,1
673,020077000,02000,0,1,0
675,020077200,02000,0,0,1
676,020077400,02000,0,0,1
677,020077500,02000,0,0,1
678,020077600,02000,1,1,1
679,020077800,02000,0,0,1
680,020077900,02000,0,1,0
681,020078000,02000,0,0,1
682,020078100,02000,1,1,1
683,020078300,02000,1,1,1
684,020078400,02000,0,0,1
685,020078500,02000,1,1,1
686,020078600,02000,0,0,1
688,020078900,02000,1,0,1
689,020079000,02000,1,0,0
690,020079100,02000,0,0,1
692,020079400,02000,0,0,1
693,020079500,02000,0,1,0
694,020079700,02000,1,0,0
695,020079900,02000,0,0,1
696,020080000,02000,1,0,0
697,020080001,02000,1,0,0
698,020080002,02000,1,0,0
699,020080300,02000,1,0,0
700,020080500,02000,0,0,1
701,020080800,02000,0,1,0
702,020080900,02000,0,0,1
703,020081000,02000,1,0,0
704,020081100,02000,0,0,1
705,020081300,02000,0,0,1
706,020081400,02000,0,0,1
707,020081600,02000,1,0,0
708,020081800,02000,0,0,1
709,020082000,02000,0,0,1
710,020082200,02000,1,1,1
711,020082300,02000,1,1,1
712,020082400,02000,0,0,1
713,020082500,02000,0,1,0
714,020082600,02000,0,0,1
715,020082800,02000,1,1,1
716,020082900,02000,0,0,1
717,020083000,02000,0,0,1
718,020083100,02000,0,0,1
719,020083200,02000,1,0,1
720,020083300,02000,1,1,1
721,020083400,02000,1,1,1
722,020083500,02000,0,1,0
723,020083800,02000,0,1,0
724,020083900,02000,0,1,0
725,020084000,02000,0,1,0
726,020084300,02000,0,1,0
727,020084500,02000,1,1,1
728,020084600,02000,0,0,1
729,020084800,02000,1,0,0
730,020084801,02000,1,0,0
731,020084802,02000,1,0,0
732,020084803,02000,1,0,0
733,020084804,02000,1,0,0
734,020084900,02000,0,1,0
735,020085000,02000,0,0,1
737,020085200,02000,0,1,0
738,020085400,02000,0,1,0
739,020085500,02000,1,1,1
740,020085600,02000,1,0,1
742,020085900,02000,0,1,0
743,020086000,02000,1,1,1
744,020086200,02000,0,1,1
745,020086400,02000,0,0,1
746,020086500,02000,0,1,0
747,020086600,02000,1,1,1
748,020086700,02000,0,1,0
749,020086800,02000,1,1,1
750,020086900,02000,0,0,1
