OBJECTID;Entidad;Objeto;FNA;GNA;NAM;SAG;FDC;IN1;SHAPE_STAr;SHAPE_STLe
4881;0;Departamento;Departamento San Lorenzo;Departamento;San Lorenzo;IDE Chaco;;22147;0,19603952926;2,07989538162
4882;0;Departamento;Departamento 2 de Abril;Departamento;2 de Abril;IDE Chaco;;22039;0,14595070563;1,73235092394
4883;0;Departamento;Partido de Lanús;Partido;Lanús;ARBA - Gerencia de Servicios Catastrales;;06434;0,00504857874;0,31149354090
4884;0;Departamento;Partido de Lomas de Zamora;Partido;Lomas de Zamora;ARBA - Gerencia de Servicios Catastrales;;06490;0,00863243257;0,47969034581
4885;0;Departamento;Partido de Avellaneda;Partido;Avellaneda;ARBA - Gerencia de Servicios Catastrales;;06035;0,00553438447;0,34742270164
4886;0;Departamento;Departamento 25 de Mayo;Departamento;25 de Mayo;IDE Chaco;;22168;0,21567475538;2,71543713681
4887;0;Departamento;Departamento Libertad;Departamento;Libertad;IDE Chaco;;22077;0,09489688918;1,85447322640
4888;0;Departamento;Departamento Comandante Fernández;Departamento;Comandante Fernández;IDE Chaco;;22021;0,13642224481;1,51497612821
4889;0;Departamento;Departamento General Belgrano;Departamento;General Belgrano;IDE Chaco;;22049;0,11820103483;1,86404150312
4890;0;Departamento;Departamento General Donovan;Departamento;General Donovan;IDE Chaco;;22056;0,13829963098;1,81222188377
4891;0;Departamento;Departamento Libertador General San Martín;Departamento;Libertador General San Martín;Direc. de Geodesia y Catastro;;74063;0,33382349720;3,21720761700
4892;0;Departamento;Departamento Coronel Pringles;Departamento;Coronel Pringles;Direc. de Geodesia y Catastro;;74021;0,37230415982;3,80211425043
4893;0;Departamento;Departamento Chacabuco;Departamento;Chacabuco;Direc. de Geodesia y Catastro;;74028;0,23247273925;2,62019703577
4894;0;Departamento;Comuna 15;Comuna;Comuna 15;Direc. de Catastro;;02105;0,00140730852;0,18574026527
4895;0;Departamento;Departamento Capital;Departamento;Capital;Direc. de Catastro;;70028;0,00253521762;0,23702337815
4896;0;Departamento;Departamento Rivadavia;Departamento;Rivadavia;Direc. de Catastro;;70084;0,01143873966;0,61982354149
4897;0;Departamento;Departamento Santa Lucía;Departamento;Santa Lucía;Direc. de Catastro;;70098;0,00514145787;0,30987304684
4898;0;Departamento;Departamento Rawson;Departamento;Rawson;Direc. de Catastro;;70077;0,02717170547;1,06992010612
4899;0;Departamento;Departamento Pocito;Departamento;Pocito;Direc. de Catastro;;70070;0,05461877422;1,15179159276
4900;0;Departamento;Departamento Zonda;Departamento;Zonda;Direc. de Catastro;;70133;0,22998679862;2,56826871001
4901;0;Departamento;Departamento Ullum;Departamento;Ullum;Direc. de Catastro;;70112;0,42333212162;3,32407999189
4902;0;Departamento;Departamento Chimbas;Departamento;Chimbas;Direc. de Catastro;;70042;0,00635380799;0,47426208853
